filename,heigth,width,label
00000_00000.ppm,26,26,18
00000_00001.ppm,27,27,18
00000_00002.ppm,27,27,18
00000_00003.ppm,27,27,18
00000_00004.ppm,27,27,18
00000_00005.ppm,27,27,18
00000_00006.ppm,26,28,18
00000_00007.ppm,28,30,18
00000_00008.ppm,28,29,18
00000_00009.ppm,27,31,18
00000_00010.ppm,26,28,18
00000_00011.ppm,27,28,18
00000_00012.ppm,27,29,18
00000_00013.ppm,28,29,18
00000_00014.ppm,27,29,18
00000_00015.ppm,27,30,18
00000_00016.ppm,28,30,18
00000_00017.ppm,29,30,18
00000_00018.ppm,28,31,18
00000_00019.ppm,28,32,18
00000_00020.ppm,29,33,18
00000_00021.ppm,29,31,18
00000_00022.ppm,29,31,18
00000_00023.ppm,29,30,18
00000_00024.ppm,29,30,18
00000_00025.ppm,28,31,18
00000_00026.ppm,30,31,18
00000_00027.ppm,29,31,18
00000_00028.ppm,29,31,18
00000_00029.ppm,31,30,18
00001_00000.ppm,42,44,18
00001_00001.ppm,41,45,18
00001_00002.ppm,41,46,18
00001_00003.ppm,42,47,18
00001_00004.ppm,43,48,18
00001_00005.ppm,44,47,18
00001_00006.ppm,46,49,18
00001_00007.ppm,47,50,18
00001_00008.ppm,48,50,18
00001_00009.ppm,47,51,18
00001_00010.ppm,50,53,18
00001_00011.ppm,50,54,18
00001_00012.ppm,51,54,18
00001_00013.ppm,54,57,18
00001_00014.ppm,56,58,18
00001_00015.ppm,54,60,18
00001_00016.ppm,57,60,18
00001_00017.ppm,56,61,18
00001_00018.ppm,60,64,18
00001_00019.ppm,60,68,18
00001_00020.ppm,62,70,18
00001_00021.ppm,63,72,18
00001_00022.ppm,65,72,18
00001_00023.ppm,69,76,18
00001_00024.ppm,72,82,18
00001_00025.ppm,75,83,18
00001_00026.ppm,78,87,18
00001_00027.ppm,82,90,18
00001_00028.ppm,86,96,18
00001_00029.ppm,92,99,18
00002_00000.ppm,33,36,18
00002_00001.ppm,33,36,18
00002_00002.ppm,35,36,18
00002_00003.ppm,35,37,18
00002_00004.ppm,36,37,18
00002_00005.ppm,38,38,18
00002_00006.ppm,37,40,18
00002_00007.ppm,36,39,18
00002_00008.ppm,38,39,18
00002_00009.ppm,39,41,18
00002_00010.ppm,40,43,18
00002_00011.ppm,41,43,18
00002_00012.ppm,42,43,18
00002_00013.ppm,42,46,18
00002_00014.ppm,44,47,18
00002_00015.ppm,45,49,18
00002_00016.ppm,45,49,18
00002_00017.ppm,47,50,18
00002_00018.ppm,47,53,18
00002_00019.ppm,49,54,18
00002_00020.ppm,51,56,18
00002_00021.ppm,53,56,18
00002_00022.ppm,55,59,18
00002_00023.ppm,60,64,18
00002_00024.ppm,61,68,18
00002_00025.ppm,67,71,18
00002_00026.ppm,71,75,18
00002_00027.ppm,76,84,18
00002_00028.ppm,84,92,18
00002_00029.ppm,91,97,18
00003_00000.ppm,40,38,18
00003_00001.ppm,42,44,18
00003_00002.ppm,42,44,18
00003_00003.ppm,41,44,18
00003_00004.ppm,42,43,18
00003_00005.ppm,45,46,18
00003_00006.ppm,46,50,18
00003_00007.ppm,46,51,18
00003_00008.ppm,49,52,18
00003_00009.ppm,49,52,18
00003_00010.ppm,51,54,18
00003_00011.ppm,52,55,18
00003_00012.ppm,55,58,18
00003_00013.ppm,55,59,18
00003_00014.ppm,56,60,18
00003_00015.ppm,59,60,18
00003_00016.ppm,60,64,18
00003_00017.ppm,59,64,18
00003_00018.ppm,63,69,18
00003_00019.ppm,64,71,18
00003_00020.ppm,70,74,18
00003_00021.ppm,74,77,18
00003_00022.ppm,82,86,18
00003_00023.ppm,85,91,18
00003_00024.ppm,92,97,18
00003_00025.ppm,95,105,18
00003_00026.ppm,103,113,18
00003_00027.ppm,111,121,18
00003_00028.ppm,124,134,18
00003_00029.ppm,137,148,18
00004_00000.ppm,54,60,18
00004_00001.ppm,55,62,18
00004_00002.ppm,57,63,18
00004_00003.ppm,57,63,18
00004_00004.ppm,60,68,18
00004_00005.ppm,63,72,18
00004_00006.ppm,68,76,18
00004_00007.ppm,70,79,18
00004_00008.ppm,71,81,18
00004_00009.ppm,72,83,18
00004_00010.ppm,74,85,18
00004_00011.ppm,76,87,18
00004_00012.ppm,80,89,18
00004_00013.ppm,82,94,18
00004_00014.ppm,88,98,18
00004_00015.ppm,92,104,18
00004_00016.ppm,95,108,18
00004_00017.ppm,98,111,18
00004_00018.ppm,101,117,18
00004_00019.ppm,105,120,18
00004_00020.ppm,108,124,18
00004_00021.ppm,111,128,18
00004_00022.ppm,119,134,18
00004_00023.ppm,123,137,18
00004_00024.ppm,130,145,18
00004_00025.ppm,135,152,18
00004_00026.ppm,143,158,18
00004_00027.ppm,153,168,18
00004_00028.ppm,160,179,18
00004_00029.ppm,169,189,18
00005_00000.ppm,71,72,18
00005_00001.ppm,70,74,18
00005_00002.ppm,71,76,18
00005_00003.ppm,72,80,18
00005_00004.ppm,75,82,18
00005_00005.ppm,76,84,18
00005_00006.ppm,77,85,18
00005_00007.ppm,79,86,18
00005_00008.ppm,82,87,18
00005_00009.ppm,82,92,18
00005_00010.ppm,85,93,18
00005_00011.ppm,86,95,18
00005_00012.ppm,89,97,18
00005_00013.ppm,94,100,18
00005_00014.ppm,95,101,18
00005_00015.ppm,96,106,18
00005_00016.ppm,100,109,18
00005_00017.ppm,100,110,18
00005_00018.ppm,105,113,18
00005_00019.ppm,105,118,18
00005_00020.ppm,110,121,18
00005_00021.ppm,112,122,18
00005_00022.ppm,116,129,18
00005_00023.ppm,121,130,18
00005_00024.ppm,123,133,18
00005_00025.ppm,131,141,18
00005_00026.ppm,130,145,18
00005_00027.ppm,141,152,18
00005_00028.ppm,144,158,18
00005_00029.ppm,153,167,18
00006_00000.ppm,39,42,18
00006_00001.ppm,39,42,18
00006_00002.ppm,39,43,18
00006_00003.ppm,40,44,18
00006_00004.ppm,41,46,18
00006_00005.ppm,40,45,18
00006_00006.ppm,41,47,18
00006_00007.ppm,43,46,18
00006_00008.ppm,43,47,18
00006_00009.ppm,45,48,18
00006_00010.ppm,46,52,18
00006_00011.ppm,47,53,18
00006_00012.ppm,47,53,18
00006_00013.ppm,49,54,18
00006_00014.ppm,51,57,18
00006_00015.ppm,54,58,18
00006_00016.ppm,55,61,18
00006_00017.ppm,58,63,18
00006_00018.ppm,60,64,18
00006_00019.ppm,62,67,18
00006_00020.ppm,63,71,18
00006_00021.ppm,68,74,18
00006_00022.ppm,71,76,18
00006_00023.ppm,72,81,18
00006_00024.ppm,76,84,18
00006_00025.ppm,81,91,18
00006_00026.ppm,88,98,18
00006_00027.ppm,94,105,18
00006_00028.ppm,100,111,18
00006_00029.ppm,108,122,18
00007_00000.ppm,50,56,18
00007_00001.ppm,52,57,18
00007_00002.ppm,52,58,18
00007_00003.ppm,51,58,18
00007_00004.ppm,53,59,18
00007_00005.ppm,54,60,18
00007_00006.ppm,56,61,18
00007_00007.ppm,58,62,18
00007_00008.ppm,58,65,18
00007_00009.ppm,60,68,18
00007_00010.ppm,60,69,18
00007_00011.ppm,62,71,18
00007_00012.ppm,63,73,18
00007_00013.ppm,66,75,18
00007_00014.ppm,68,76,18
00007_00015.ppm,71,81,18
00007_00016.ppm,72,82,18
00007_00017.ppm,74,84,18
00007_00018.ppm,76,85,18
00007_00019.ppm,77,86,18
00007_00020.ppm,83,96,18
00007_00021.ppm,85,100,18
00007_00022.ppm,94,106,18
00007_00023.ppm,94,108,18
00007_00024.ppm,100,117,18
00007_00025.ppm,108,122,18
00007_00026.ppm,113,130,18
