filename,heigth,width,label
00000_00000.ppm,29,30,26
00000_00001.ppm,29,30,26
00000_00002.ppm,31,30,26
00000_00003.ppm,31,32,26
00000_00004.ppm,32,32,26
00000_00005.ppm,33,32,26
00000_00006.ppm,32,33,26
00000_00007.ppm,34,34,26
00000_00008.ppm,35,34,26
00000_00009.ppm,37,36,26
00000_00010.ppm,36,37,26
00000_00011.ppm,38,38,26
00000_00012.ppm,40,39,26
00000_00013.ppm,40,40,26
00000_00014.ppm,43,40,26
00000_00015.ppm,46,44,26
00000_00016.ppm,47,45,26
00000_00017.ppm,50,51,26
00000_00018.ppm,52,55,26
00000_00019.ppm,56,58,26
00000_00020.ppm,58,60,26
00000_00021.ppm,61,65,26
00000_00022.ppm,64,73,26
00000_00023.ppm,71,77,26
00000_00024.ppm,79,87,26
00000_00025.ppm,88,96,26
00000_00026.ppm,99,106,26
00000_00027.ppm,121,132,26
00000_00028.ppm,151,166,26
00000_00029.ppm,191,208,26
00001_00000.ppm,38,41,26
00001_00001.ppm,38,40,26
00001_00002.ppm,39,41,26
00001_00003.ppm,40,42,26
00001_00004.ppm,39,42,26
00001_00005.ppm,40,41,26
00001_00006.ppm,40,43,26
00001_00007.ppm,41,44,26
00001_00008.ppm,44,47,26
00001_00009.ppm,45,46,26
00001_00010.ppm,47,47,26
00001_00011.ppm,46,49,26
00001_00012.ppm,48,49,26
00001_00013.ppm,48,51,26
00001_00014.ppm,49,52,26
00001_00015.ppm,50,53,26
00001_00016.ppm,53,54,26
00001_00017.ppm,53,56,26
00001_00018.ppm,56,58,26
00001_00019.ppm,59,60,26
00001_00020.ppm,60,62,26
00001_00021.ppm,63,64,26
00001_00022.ppm,65,69,26
00001_00023.ppm,71,73,26
00001_00024.ppm,74,77,26
00001_00025.ppm,80,83,26
00001_00026.ppm,86,88,26
00001_00027.ppm,96,95,26
00001_00028.ppm,104,104,26
00001_00029.ppm,117,111,26
00002_00000.ppm,31,33,26
00002_00001.ppm,31,33,26
00002_00002.ppm,30,33,26
00002_00003.ppm,30,34,26
00002_00004.ppm,29,32,26
00002_00005.ppm,30,32,26
00002_00006.ppm,31,34,26
00002_00007.ppm,32,35,26
00002_00008.ppm,33,37,26
00002_00009.ppm,33,36,26
00002_00010.ppm,34,37,26
00002_00011.ppm,34,36,26
00002_00012.ppm,33,37,26
00002_00013.ppm,34,37,26
00002_00014.ppm,33,37,26
00002_00015.ppm,35,37,26
00002_00016.ppm,37,37,26
00002_00017.ppm,36,40,26
00002_00018.ppm,37,40,26
00002_00019.ppm,38,40,26
00002_00020.ppm,39,41,26
00002_00021.ppm,40,41,26
00002_00022.ppm,39,43,26
00002_00023.ppm,40,45,26
00002_00024.ppm,43,45,26
00002_00025.ppm,43,48,26
00002_00026.ppm,44,49,26
00002_00027.ppm,43,48,26
00002_00028.ppm,44,50,26
00002_00029.ppm,46,52,26
00003_00000.ppm,27,29,26
00003_00001.ppm,28,33,26
00003_00002.ppm,29,33,26
00003_00003.ppm,28,33,26
00003_00004.ppm,30,33,26
00003_00005.ppm,32,34,26
00003_00006.ppm,33,34,26
00003_00007.ppm,33,35,26
00003_00008.ppm,33,36,26
00003_00009.ppm,36,37,26
00003_00010.ppm,37,38,26
00003_00011.ppm,38,39,26
00003_00012.ppm,40,42,26
00003_00013.ppm,44,44,26
00003_00014.ppm,45,48,26
00003_00015.ppm,46,48,26
00003_00016.ppm,47,50,26
00003_00017.ppm,51,52,26
00003_00018.ppm,54,55,26
00003_00019.ppm,56,59,26
00003_00020.ppm,60,62,26
00003_00021.ppm,63,68,26
00003_00022.ppm,69,73,26
00003_00023.ppm,74,78,26
00003_00024.ppm,84,87,26
00003_00025.ppm,94,97,26
00003_00026.ppm,106,109,26
00003_00027.ppm,120,122,26
00003_00028.ppm,136,143,26
00003_00029.ppm,163,167,26
00004_00000.ppm,31,35,26
00004_00001.ppm,32,37,26
00004_00002.ppm,34,38,26
00004_00003.ppm,35,39,26
00004_00004.ppm,34,39,26
00004_00005.ppm,34,39,26
00004_00006.ppm,35,39,26
00004_00007.ppm,37,41,26
00004_00008.ppm,38,43,26
00004_00009.ppm,38,44,26
00004_00010.ppm,39,45,26
00004_00011.ppm,41,46,26
00004_00012.ppm,42,47,26
00004_00013.ppm,43,48,26
00004_00014.ppm,43,48,26
00004_00015.ppm,45,50,26
00004_00016.ppm,49,53,26
00004_00017.ppm,51,55,26
00004_00018.ppm,53,57,26
00004_00019.ppm,57,62,26
00004_00020.ppm,59,63,26
00004_00021.ppm,63,73,26
00004_00022.ppm,68,74,26
00004_00023.ppm,69,76,26
00004_00024.ppm,73,81,26
00004_00025.ppm,85,94,26
00004_00026.ppm,87,100,26
00004_00027.ppm,96,115,26
00004_00028.ppm,112,128,26
00004_00029.ppm,119,143,26
00005_00000.ppm,35,36,26
00005_00001.ppm,35,37,26
00005_00002.ppm,34,38,26
00005_00003.ppm,35,37,26
00005_00004.ppm,36,39,26
00005_00005.ppm,36,39,26
00005_00006.ppm,37,40,26
00005_00007.ppm,36,40,26
00005_00008.ppm,38,40,26
00005_00009.ppm,38,42,26
00005_00010.ppm,38,42,26
00005_00011.ppm,39,43,26
00005_00012.ppm,40,44,26
00005_00013.ppm,40,43,26
00005_00014.ppm,40,45,26
00005_00015.ppm,42,47,26
00005_00016.ppm,42,48,26
00005_00017.ppm,43,48,26
00005_00018.ppm,45,50,26
00005_00019.ppm,44,50,26
00005_00020.ppm,45,51,26
00005_00021.ppm,49,55,26
00005_00022.ppm,50,55,26
00005_00023.ppm,51,57,26
00005_00024.ppm,52,60,26
00005_00025.ppm,54,61,26
00005_00026.ppm,56,63,26
00005_00027.ppm,56,63,26
00005_00028.ppm,60,69,26
00005_00029.ppm,62,72,26
00006_00000.ppm,30,31,26
00006_00001.ppm,30,31,26
00006_00002.ppm,30,32,26
00006_00003.ppm,30,33,26
00006_00004.ppm,31,33,26
00006_00005.ppm,32,34,26
00006_00006.ppm,32,34,26
00006_00007.ppm,30,34,26
00006_00008.ppm,33,35,26
00006_00009.ppm,33,36,26
00006_00010.ppm,35,37,26
00006_00011.ppm,36,38,26
00006_00012.ppm,35,39,26
00006_00013.ppm,37,40,26
00006_00014.ppm,40,42,26
00006_00015.ppm,42,44,26
00006_00016.ppm,42,45,26
00006_00017.ppm,44,46,26
00006_00018.ppm,46,49,26
00006_00019.ppm,47,51,26
00006_00020.ppm,50,54,26
00006_00021.ppm,54,58,26
00006_00022.ppm,55,61,26
00006_00023.ppm,55,62,26
00006_00024.ppm,60,64,26
00006_00025.ppm,58,67,26
00006_00026.ppm,72,80,26
00006_00027.ppm,81,87,26
00006_00028.ppm,87,94,26
00006_00029.ppm,100,106,26
00007_00000.ppm,29,32,26
00007_00001.ppm,29,33,26
00007_00002.ppm,28,31,26
00007_00003.ppm,29,32,26
00007_00004.ppm,29,32,26
00007_00005.ppm,29,33,26
00007_00006.ppm,29,34,26
00007_00007.ppm,31,33,26
00007_00008.ppm,32,33,26
00007_00009.ppm,32,33,26
00007_00010.ppm,32,35,26
00007_00011.ppm,33,37,26
00007_00012.ppm,34,38,26
00007_00013.ppm,35,37,26
00007_00014.ppm,36,39,26
00007_00015.ppm,36,39,26
00007_00016.ppm,36,39,26
00007_00017.ppm,38,42,26
00007_00018.ppm,39,42,26
00007_00019.ppm,39,42,26
00007_00020.ppm,41,45,26
00007_00021.ppm,42,46,26
00007_00022.ppm,43,46,26
00007_00023.ppm,44,48,26
00007_00024.ppm,46,48,26
00007_00025.ppm,47,50,26
00007_00026.ppm,51,54,26
00007_00027.ppm,51,55,26
00007_00028.ppm,53,57,26
00007_00029.ppm,58,61,26
00008_00000.ppm,29,32,26
00008_00001.ppm,29,33,26
